block,field,field_group,archived_schema_declaration,ordinal_battery,ordinal_complete_documents,paired_nominal_battery,paired_nominal_complete_documents
codes,coding_confidence_code,process/confidence,int 0-5,no,,no,
codes,final_confidence_code,process/confidence,int 0-5,no,,no,
codes,human_review_flag_code,process/confidence,"int 0=no review needed, 1=review recommended",no,,no,
codes,eth_equity_code,ethical principles,int 0-5|8|9 [LEAVE-ALONE: reliable v2.7 field; Part A ladder],yes,65,no,
codes,eth_accountability_code,ethical principles,int 0-5|8|9,yes,65,no,
codes,eth_transparency_code,ethical principles,int 0-5|8|9,yes,65,no,
codes,eth_privacy_code,ethical principles,int 0-5|8|9 [LEAVE-ALONE: reliable v2.7 field; implicit trigger: is identifiable data at stake?],yes,65,no,
codes,eth_autonomy_code,ethical principles,int 0-5|8|9 [Part B trigger: human control/manipulation/dependency/consent],yes,65,no,
codes,eth_integrity_code,ethical principles,int 0-5|8|9 [Part B trigger: accuracy/authenticity/verification of knowledge],yes,65,no,
codes,eth_nonmaleficence_code,ethical principles,int 0-5|8|9 [Part B trigger: named concrete harm to identifiable parties],yes,65,no,
codes,eth_beneficence_mech_code,ethical principles,int 0-5|8|9,yes,65,no,
codes,eth_beneficence_eth_code,ethical principles,int 0-5|8|9,yes,65,no,
codes,eth_justice_code,ethical principles,"int 0-5|8|9 [Part B trigger: distribution/rights/remedy; access gap->equity, unfair outcome/no remedy->justice]",yes,65,no,
codes,valence_positive,valence proportions,float 0.00-1.00 (positive+neutral+negative should sum to 1.00 when codable),no,,no,
codes,valence_neutral_mixed,valence proportions,float 0.00-1.00,no,,no,
codes,valence_negative,valence proportions,float 0.00-1.00,no,,no,
codes,dppra_d_strength_code,DPPRA,int 0-5|8|9 [Part A ladder],yes,65,no,
codes,dppra_p1_strength_code,DPPRA,int 0-5|8|9 [LEAVE-ALONE: reliable v2.7 field; Part A ladder],yes,65,no,
codes,dppra_p2_strength_code,DPPRA,int 0-5|8|9 [Part A ladder],yes,65,no,
codes,dppra_r_strength_code,DPPRA,int 0-5|8|9 [Part A ladder],yes,65,no,
codes,dppra_a_strength_code,DPPRA,int 0-5|8|9 [Part A ladder],yes,65,no,
